number,lv1,lv2,name
1162,Sản xuất,"Sản xuất trang thiết bị, dụng cụ điện",RAL
1163,Sản xuất,"Sản xuất trang thiết bị, dụng cụ điện",SAM
1164,Sản xuất,"Sản xuất trang thiết bị, dụng cụ điện",TBD
1165,Sản xuất,"Sản xuất trang thiết bị, dụng cụ điện",TSB
1166,Sản xuất,"Sản xuất trang thiết bị, dụng cụ điện",TYA
1167,Sản xuất,"Sản xuất trang thiết bị, dụng cụ điện",UEM
1168,Sản xuất,"Sản xuất trang thiết bị, dụng cụ điện",VEC
1169,Sản xuất,"Sản xuất trang thiết bị, dụng cụ điện",VTH
1170,Sản xuất,"Sản xuất xăng dầu, than đá",APP
1171,Sản xuất,"Sản xuất xăng dầu, than đá",BSR
1172,Sản xuất,"Sản xuất xăng dầu, than đá",PLC
1173,Bán buôn,Bán buôn hàng lâu bền,AMP
1174,Bán buôn,Bán buôn hàng lâu bền,AMV
1175,Bán buôn,Bán buôn hàng lâu bền,APL
1176,Bán buôn,Bán buôn hàng lâu bền,ARM
1177,Bán buôn,Bán buôn hàng lâu bền,BIG
1178,Bán buôn,Bán buôn hàng lâu bền,CDO
1179,Bán buôn,Bán buôn hàng lâu bền,CKV
1180,Bán buôn,Bán buôn hàng lâu bền,CLM
1181,Bán buôn,Bán buôn hàng lâu bền,CMC
1182,Bán buôn,Bán buôn hàng lâu bền,CMD
1183,Bán buôn,Bán buôn hàng lâu bền,CMK
1184,Bán buôn,Bán buôn hàng lâu bền,CVN
1185,Bán buôn,Bán buôn hàng lâu bền,DAS
1186,Bán buôn,Bán buôn hàng lâu bền,DGW
1187,Bán buôn,Bán buôn hàng lâu bền,DIC
1188,Bán buôn,Bán buôn hàng lâu bền,DPS
1189,Bán buôn,Bán buôn hàng lâu bền,DXV
1190,Bán buôn,Bán buôn hàng lâu bền,FBA
1191,Bán buôn,Bán buôn hàng lâu bền,FID
1192,Bán buôn,Bán buôn hàng lâu bền,GMA
1193,Bán buôn,Bán buôn hàng lâu bền,HHS
1194,Bán buôn,Bán buôn hàng lâu bền,HMC
1195,Bán buôn,Bán buôn hàng lâu bền,HSV
1196,Bán buôn,Bán buôn hàng lâu bền,HTL
1197,Bán buôn,Bán buôn hàng lâu bền,JVC
1198,Bán buôn,Bán buôn hàng lâu bền,KDM
1199,Bán buôn,Bán buôn hàng lâu bền,KMT
1200,Bán buôn,Bán buôn hàng lâu bền,LPT
1201,Bán buôn,Bán buôn hàng lâu bền,MEL
1202,Bán buôn,Bán buôn hàng lâu bền,MTS
1203,Bán buôn,Bán buôn hàng lâu bền,MVC
1204,Bán buôn,Bán buôn hàng lâu bền,PET
1205,Bán buôn,Bán buôn hàng lâu bền,PSD
1206,Bán buôn,Bán buôn hàng lâu bền,PXM
1207,Bán buôn,Bán buôn hàng lâu bền,SDP
1208,Bán buôn,Bán buôn hàng lâu bền,SGT
1209,Bán buôn,Bán buôn hàng lâu bền,SMA
1210,Bán buôn,Bán buôn hàng lâu bền,SMC
1211,Bán buôn,Bán buôn hàng lâu bền,SRA
1212,Bán buôn,Bán buôn hàng lâu bền,ST8
1213,Bán buôn,Bán buôn hàng lâu bền,THS
1214,Bán buôn,Bán buôn hàng lâu bền,TIE
1215,Bán buôn,Bán buôn hàng lâu bền,TLH
1216,Bán buôn,Bán buôn hàng lâu bền,TNA
1217,Bán buôn,Bán buôn hàng lâu bền,TNI
1218,Bán buôn,Bán buôn hàng lâu bền,TTB
1219,Bán buôn,Bán buôn hàng lâu bền,TTH
1220,Bán buôn,Bán buôn hàng lâu bền,TVA
1221,Bán buôn,Bán buôn hàng lâu bền,UNI
1222,Bán buôn,Bán buôn hàng lâu bền,VKC
1223,Bán buôn,Bán buôn hàng lâu bền,VPG
1224,Bán buôn,Bán buôn hàng lâu bền,VTV
1225,Bán buôn,Bán buôn hàng tiêu dùng,AAT
1226,Bán buôn,Bán buôn hàng tiêu dùng,AAV
1227,Bán buôn,Bán buôn hàng tiêu dùng,ABR
1228,Bán buôn,Bán buôn hàng tiêu dùng,ABS
1229,Bán buôn,Bán buôn hàng tiêu dùng,CDP
1230,Bán buôn,Bán buôn hàng tiêu dùng,CEN
1231,Bán buôn,Bán buôn hàng tiêu dùng,CLX
1232,Bán buôn,Bán buôn hàng tiêu dùng,CNC
1233,Bán buôn,Bán buôn hàng tiêu dùng,CNT
1234,Bán buôn,Bán buôn hàng tiêu dùng,DBT
1235,Bán buôn,Bán buôn hàng tiêu dùng,DDN
1236,Bán buôn,Bán buôn hàng tiêu dùng,DP1
1237,Bán buôn,Bán buôn hàng tiêu dùng,DPP
1238,Bán buôn,Bán buôn hàng tiêu dùng,HAI
1239,Bán buôn,Bán buôn hàng tiêu dùng,HAT
1240,Bán buôn,Bán buôn hàng tiêu dùng,HFX
1241,Bán buôn,Bán buôn hàng tiêu dùng,HKB
1242,Bán buôn,Bán buôn hàng tiêu dùng,HTM
1243,Bán buôn,Bán buôn hàng tiêu dùng,IFS
1244,Bán buôn,Bán buôn hàng tiêu dùng,LMH
1245,Bán buôn,Bán buôn hàng tiêu dùng,MCF
1246,Bán buôn,Bán buôn hàng tiêu dùng,NHV
1247,Bán buôn,Bán buôn hàng tiêu dùng,OIL
1248,Bán buôn,Bán buôn hàng tiêu dùng,PCF
1249,Bán buôn,Bán buôn hàng tiêu dùng,PCN
1250,Bán buôn,Bán buôn hàng tiêu dùng,PCT
1251,Bán buôn,Bán buôn hàng tiêu dùng,PEG
1252,Bán buôn,Bán buôn hàng tiêu dùng,PIT
1253,Bán buôn,Bán buôn hàng tiêu dùng,PLO
1254,Bán buôn,Bán buôn hàng tiêu dùng,PLX
1255,Bán buôn,Bán buôn hàng tiêu dùng,PMG
1256,Bán buôn,Bán buôn hàng tiêu dùng,PMJ
1257,Bán buôn,Bán buôn hàng tiêu dùng,PND
1258,Bán buôn,Bán buôn hàng tiêu dùng,POB
1259,Bán buôn,Bán buôn hàng tiêu dùng,POV
1260,Bán buôn,Bán buôn hàng tiêu dùng,PPT
1261,Bán buôn,Bán buôn hàng tiêu dùng,PPY
1262,Bán buôn,Bán buôn hàng tiêu dùng,PSC
1263,Bán buôn,Bán buôn hàng tiêu dùng,PSE
1264,Bán buôn,Bán buôn hàng tiêu dùng,PSH
1265,Bán buôn,Bán buôn hàng tiêu dùng,PTV
1266,Bán buôn,Bán buôn hàng tiêu dùng,PTX
1267,Bán buôn,Bán buôn hàng tiêu dùng,PVO
1268,Bán buôn,Bán buôn hàng tiêu dùng,QBS
1269,Bán buôn,Bán buôn hàng tiêu dùng,SCO
1270,Bán buôn,Bán buôn hàng tiêu dùng,SHN
1271,Bán buôn,Bán buôn hàng tiêu dùng,TDG
1272,Bán buôn,Bán buôn hàng tiêu dùng,TH1
1273,Bán buôn,Bán buôn hàng tiêu dùng,TOP
1274,Bán buôn,Bán buôn hàng tiêu dùng,TSC
1275,Bán buôn,Bán buôn hàng tiêu dùng,VFG
1276,Bán buôn,Bán buôn hàng tiêu dùng,VID
1277,Bán buôn,Bán buôn hàng tiêu dùng,VMD
1278,Bán buôn,Bán buôn hàng tiêu dùng,VXT
1279,Bán buôn,Bán buôn hàng tiêu dùng,YTC
1280,Bán buôn,"Chợ, đại lý và môi giới bán buôn điện tử",HAM
1281,Bán buôn,"Chợ, đại lý và môi giới bán buôn điện tử",KLF
1282,Bán lẻ,Bán lẻ hàng hóa khác,PNC
1283,Bán lẻ,Bán lẻ hàng hóa khác,STH
1284,Bán lẻ,Bán lẻ xe hơi và phụ tùng,CTF
1285,Bán lẻ,Bán lẻ xe hơi và phụ tùng,HAX
1286,Bán lẻ,Bán lẻ xe hơi và phụ tùng,SVC
1287,Bán lẻ,Cửa hàng hàng hóa tổng hợp,AST
1288,Bán lẻ,Cửa hàng hàng hóa tổng hợp,BTT
1289,Bán lẻ,Cửa hàng hàng hóa tổng hợp,CIA
1290,Bán lẻ,Cửa hàng hàng hóa tổng hợp,CMV
1291,Bán lẻ,Cửa hàng hàng hóa tổng hợp,LBC
1292,Bán lẻ,Cửa hàng hàng hóa tổng hợp,SAS
1293,Bán lẻ,"Cửa hàng đồ dùng thể thao, đồ cổ, sách và âm nhạc",CTC
1294,Bán lẻ,"Cửa hàng đồ dùng thể thao, đồ cổ, sách và âm nhạc",FHS
1295,Bán lẻ,Cửa hàng đồ nội thất và đồ dùng gia đình,DVC
1296,Bán lẻ,Cửa hàng đồ nội thất và đồ dùng gia đình,HFC
1297,Bán lẻ,Cửa hàng đồ nội thất và đồ dùng gia đình,PEQ
1298,Bán lẻ,Cửa hàng đồ nội thất và đồ dùng gia đình,PNG
1299,Bán lẻ,Cửa hàng đồ nội thất và đồ dùng gia đình,PTH
1300,Bán lẻ,Cửa hàng đồ nội thất và đồ dùng gia đình,VTJ
1301,Bán lẻ,Cửa hàng thiết bị điện tử gia đình,FRT
1302,Bán lẻ,Cửa hàng thiết bị điện tử gia đình,MWG
1303,Bán lẻ,Cửa hàng thiết bị điện tử gia đình,TAG
1304,Bán lẻ,"Kinh doanh vật liệu xây dựng, trang thiết bị làm vườn",AMD
1305,Bán lẻ,"Kinh doanh vật liệu xây dựng, trang thiết bị làm vườn",HMG
1306,Bán lẻ,"Kinh doanh vật liệu xây dựng, trang thiết bị làm vườn",NAV
1307,Bán lẻ,"Kinh doanh vật liệu xây dựng, trang thiết bị làm vườn",NXT
1308,Bán lẻ,"Kinh doanh vật liệu xây dựng, trang thiết bị làm vườn",PIV
1309,Bán lẻ,"Kinh doanh vật liệu xây dựng, trang thiết bị làm vườn",SVN
1310,Bán lẻ,"Kinh doanh vật liệu xây dựng, trang thiết bị làm vườn",TMX
1311,Bán lẻ,"Kinh doanh vật liệu xây dựng, trang thiết bị làm vườn",VGC
1312,Bán lẻ,Trạm xăng,BMF
1313,Bán lẻ,Trạm xăng,CCI
1314,Bán lẻ,Trạm xăng,COM
1315,Bán lẻ,Trạm xăng,GCB
1316,Bán lẻ,Trạm xăng,HTC
1317,Bán lẻ,Trạm xăng,SFC
1318,Bán lẻ,Trạm xăng,TLP
1319,Bán lẻ,Trạm xăng,TMC
1320,Vận tải và kho bãi,Hỗ trợ vận tải,ACV
1321,Vận tải và kho bãi,Hỗ trợ vận tải,ASG
1322,Vận tải và kho bãi,Hỗ trợ vận tải,CAG
1323,Vận tải và kho bãi,Hỗ trợ vận tải,CCP
1324,Vận tải và kho bãi,Hỗ trợ vận tải,CCR
1325,Vận tải và kho bãi,Hỗ trợ vận tải,CCT
1326,Vận tải và kho bãi,Hỗ trợ vận tải,CDN
1327,Vận tải và kho bãi,Hỗ trợ vận tải,CLL
1328,Vận tải và kho bãi,Hỗ trợ vận tải,CMP
1329,Vận tải và kho bãi,Hỗ trợ vận tải,CPI
1330,Vận tải và kho bãi,Hỗ trợ vận tải,DDH
1331,Vận tải và kho bãi,Hỗ trợ vận tải,DNL
1332,Vận tải và kho bãi,Hỗ trợ vận tải,DOP
1333,Vận tải và kho bãi,Hỗ trợ vận tải,DS3
1334,Vận tải và kho bãi,Hỗ trợ vận tải,DSV
1335,Vận tải và kho bãi,Hỗ trợ vận tải,DVP
1336,Vận tải và kho bãi,Hỗ trợ vận tải,DXP
1337,Vận tải và kho bãi,Hỗ trợ vận tải,GIC
1338,Vận tải và kho bãi,Hỗ trợ vận tải,GMD
1339,Vận tải và kho bãi,Hỗ trợ vận tải,HAH
1340,Vận tải và kho bãi,Hỗ trợ vận tải,HHN
1341,Vận tải và kho bãi,Hỗ trợ vận tải,HLR
1342,Vận tải và kho bãi,Hỗ trợ vận tải,HMH
1343,Vận tải và kho bãi,Hỗ trợ vận tải,HNB
1344,Vận tải và kho bãi,Hỗ trợ vận tải,HTH
1345,Vận tải và kho bãi,Hỗ trợ vận tải,HTR
1346,Vận tải và kho bãi,Hỗ trợ vận tải,ILS
1347,Vận tải và kho bãi,Hỗ trợ vận tải,MAC
1348,Vận tải và kho bãi,Hỗ trợ vận tải,MAS
1349,Vận tải và kho bãi,Hỗ trợ vận tải,MVN
1350,Vận tải và kho bãi,Hỗ trợ vận tải,NAP
1351,Vận tải và kho bãi,Hỗ trợ vận tải,NAS
1352,Vận tải và kho bãi,Hỗ trợ vận tải,NCS
1353,Vận tải và kho bãi,Hỗ trợ vận tải,NCT
1354,Vận tải và kho bãi,Hỗ trợ vận tải,PAP
1355,Vận tải và kho bãi,Hỗ trợ vận tải,PDN
1356,Vận tải và kho bãi,Hỗ trợ vận tải,PDV
1357,Vận tải và kho bãi,Hỗ trợ vận tải,PHP
1358,Vận tải và kho bãi,Hỗ trợ vận tải,PNP
1359,Vận tải và kho bãi,Hỗ trợ vận tải,PSN
1360,Vận tải và kho bãi,Hỗ trợ vận tải,PSP
1361,Vận tải và kho bãi,Hỗ trợ vận tải,PVP
1362,Vận tải và kho bãi,Hỗ trợ vận tải,QLT
1363,Vận tải và kho bãi,Hỗ trợ vận tải,QSP
1364,Vận tải và kho bãi,Hỗ trợ vận tải,RCC
1365,Vận tải và kho bãi,Hỗ trợ vận tải,SAC
1366,Vận tải và kho bãi,Hỗ trợ vận tải,SAL
1367,Vận tải và kho bãi,Hỗ trợ vận tải,SCS
1368,Vận tải và kho bãi,Hỗ trợ vận tải,SFI
1369,Vận tải và kho bãi,Hỗ trợ vận tải,SGN
1370,Vận tải và kho bãi,Hỗ trợ vận tải,SGP
1371,Vận tải và kho bãi,Hỗ trợ vận tải,STS
1372,Vận tải và kho bãi,Hỗ trợ vận tải,TCL
1373,Vận tải và kho bãi,Hỗ trợ vận tải,TCO
1374,Vận tải và kho bãi,Hỗ trợ vận tải,TCW
1375,Vận tải và kho bãi,Hỗ trợ vận tải,TMS
1376,Vận tải và kho bãi,Hỗ trợ vận tải,TNP
1377,Vận tải và kho bãi,Hỗ trợ vận tải,TOS
1378,Vận tải và kho bãi,Hỗ trợ vận tải,TOT
1379,Vận tải và kho bãi,Hỗ trợ vận tải,TPS
1380,Vận tải và kho bãi,Hỗ trợ vận tải,TR1
1381,Vận tải và kho bãi,Hỗ trợ vận tải,TSG
1382,Vận tải và kho bãi,Hỗ trợ vận tải,TUG
1383,Vận tải và kho bãi,Hỗ trợ vận tải,VFC
1384,Vận tải và kho bãi,Hỗ trợ vận tải,VFR
1385,Vận tải và kho bãi,Hỗ trợ vận tải,VGP
1386,Vận tải và kho bãi,Hỗ trợ vận tải,VGR
1387,Vận tải và kho bãi,Hỗ trợ vận tải,VIN
1388,Vận tải và kho bãi,Hỗ trợ vận tải,VLG
1389,Vận tải và kho bãi,Hỗ trợ vận tải,VMS
1390,Vận tải và kho bãi,Hỗ trợ vận tải,VNF
1391,Vận tải và kho bãi,Hỗ trợ vận tải,VNL
1392,Vận tải và kho bãi,Hỗ trợ vận tải,VNT
1393,Vận tải và kho bãi,Hỗ trợ vận tải,VSA
1394,Vận tải và kho bãi,Hỗ trợ vận tải,VSC
1395,Vận tải và kho bãi,Hỗ trợ vận tải,VTP
1396,Vận tải và kho bãi,Hỗ trợ vận tải,VTX
1397,Vận tải và kho bãi,Hỗ trợ vận tải,WCS
1398,Vận tải và kho bãi,Kho bãi,BSC
1399,Vận tải và kho bãi,Kho bãi,CVP
1400,Vận tải và kho bãi,Kho bãi,ILA
1401,Vận tải và kho bãi,Kho bãi,ILB
1402,Vận tải và kho bãi,Kho bãi,IST
1403,Vận tải và kho bãi,Kho bãi,STG
1404,Vận tải và kho bãi,Vận chuyển,NWT
1405,Vận tải và kho bãi,Vận chuyển,STT
1406,Vận tải và kho bãi,Vận chuyển,TCT
1407,Vận tải và kho bãi,Vận chuyển,TSJ
1408,Vận tải và kho bãi,Đưa thư,EMS
1409,Vận tải và kho bãi,Vận tải,BLN
1410,Vận tải và kho bãi,Vận tải,BSG
1411,Vận tải và kho bãi,Vận tải,DDM
1412,Vận tải và kho bãi,Vận tải,DL1
1413,Vận tải và kho bãi,Vận tải,GSP
1414,Vận tải và kho bãi,Vận tải,GTT
1415,Vận tải và kho bãi,Vận tải,HCT
1416,Vận tải và kho bãi,Vận tải,HHG
1417,Vận tải và kho bãi,Vận tải,HRT
1418,Vận tải và kho bãi,Vận tải,HTV
1419,Vận tải và kho bãi,Vận tải,HVN
1420,Vận tải và kho bãi,Vận tải,ILC
1421,Vận tải và kho bãi,Vận tải,ISG
1422,Vận tải và kho bãi,Vận tải,MHC
1423,Vận tải và kho bãi,Vận tải,NOS
1424,Vận tải và kho bãi,Vận tải,PGT
1425,Vận tải và kho bãi,Vận tải,PJC
1426,Vận tải và kho bãi,Vận tải,PJT
1427,Vận tải và kho bãi,Vận tải,PRC
1428,Vận tải và kho bãi,Vận tải,PTS
1429,Vận tải và kho bãi,Vận tải,PTT
1430,Vận tải và kho bãi,Vận tải,PVT
1431,Vận tải và kho bãi,Vận tải,RAT
1432,Vận tải và kho bãi,Vận tải,SGS
1433,Vận tải và kho bãi,Vận tải,SHC
1434,Vận tải và kho bãi,Vận tải,SHX
1435,Vận tải và kho bãi,Vận tải,SKG
1436,Vận tải và kho bãi,Vận tải,SRT
1437,Vận tải và kho bãi,Vận tải,SSG
1438,Vận tải và kho bãi,Vận tải,SWC
1439,Vận tải và kho bãi,Vận tải,TJC
1440,Vận tải và kho bãi,Vận tải,TRS
1441,Vận tải và kho bãi,Vận tải,TTZ
1442,Vận tải và kho bãi,Vận tải,VIP
1443,Vận tải và kho bãi,Vận tải,VJC
1444,Vận tải và kho bãi,Vận tải,VNA
1445,Vận tải và kho bãi,Vận tải,VNS
1446,Vận tải và kho bãi,Vận tải,VOS
1447,Vận tải và kho bãi,Vận tải,VPA
1448,Vận tải và kho bãi,Vận tải,VSG
1449,Vận tải và kho bãi,Vận tải,VSM
1450,Vận tải và kho bãi,Vận tải,VSP
1451,Vận tải và kho bãi,Vận tải,VST
1452,Vận tải và kho bãi,Vận tải,VTM
1453,Vận tải và kho bãi,Vận tải,VTO
1454,Vận tải và kho bãi,Vận tải,WTC
1455,Công nghệ và thông tin,Các dịch vụ thông tin khác,CMG
1456,Công nghệ và thông tin,Các dịch vụ thông tin khác,MFS
1457,Công nghệ và thông tin,Các dịch vụ thông tin khác,PAI
1458,Công nghệ và thông tin,Các dịch vụ thông tin khác,PIA
1459,Công nghệ và thông tin,Các dịch vụ thông tin khác,SBD
1460,Công nghệ và thông tin,Công nghiệp xuất bản - Ngoại trừ internet,ADC
1461,Công nghệ và thông tin,Công nghiệp xuất bản - Ngoại trừ internet,BDB
1462,Công nghệ và thông tin,Công nghiệp xuất bản - Ngoại trừ internet,BED
1463,Công nghệ và thông tin,Công nghiệp xuất bản - Ngoại trừ internet,BST
1464,Công nghệ và thông tin,Công nghiệp xuất bản - Ngoại trừ internet,DAD
1465,Công nghệ và thông tin,Công nghiệp xuất bản - Ngoại trừ internet,DAE
1466,Công nghệ và thông tin,Công nghiệp xuất bản - Ngoại trừ internet,DST
1467,Công nghệ và thông tin,Công nghiệp xuất bản - Ngoại trừ internet,EBS
1468,Công nghệ và thông tin,Công nghiệp xuất bản - Ngoại trừ internet,ECI
1469,Công nghệ và thông tin,Công nghiệp xuất bản - Ngoại trừ internet,EID
1470,Công nghệ và thông tin,Công nghiệp xuất bản - Ngoại trừ internet,EPH
1471,Công nghệ và thông tin,Công nghiệp xuất bản - Ngoại trừ internet,FPT
1472,Công nghệ và thông tin,Công nghiệp xuất bản - Ngoại trừ internet,HEV
1473,Công nghệ và thông tin,Công nghiệp xuất bản - Ngoại trừ internet,IBN
1474,Công nghệ và thông tin,Công nghiệp xuất bản - Ngoại trừ internet,LBE
1475,Công nghệ và thông tin,Công nghiệp xuất bản - Ngoại trừ internet,NBE
1476,Công nghệ và thông tin,Công nghiệp xuất bản - Ngoại trừ internet,QST
1477,Công nghệ và thông tin,Công nghiệp xuất bản - Ngoại trừ internet,SED
1478,Công nghệ và thông tin,Công nghiệp xuất bản - Ngoại trừ internet,SGD
1479,Công nghệ và thông tin,Công nghiệp xuất bản - Ngoại trừ internet,SMN
1480,Công nghệ và thông tin,Công nghiệp xuất bản - Ngoại trừ internet,STC
1481,Công nghệ và thông tin,Công nghiệp xuất bản - Ngoại trừ internet,TPH
1482,Công nghệ và thông tin,Công nghiệp xuất bản - Ngoại trừ internet,VNB
1483,Công nghệ và thông tin,Phát sóng - Ngoại trừ internet,CAB
1484,Công nghệ và thông tin,Viễn thông,ABC
1485,Công nghệ và thông tin,Viễn thông,CMT
1486,Công nghệ và thông tin,Viễn thông,CTR
1487,Công nghệ và thông tin,Viễn thông,ELC
1488,Công nghệ và thông tin,Viễn thông,FOC
1489,Công nghệ và thông tin,Viễn thông,FOX
1490,Công nghệ và thông tin,Viễn thông,GLT
1491,Công nghệ và thông tin,Viễn thông,HIG
1492,Công nghệ và thông tin,Viễn thông,ICT
1493,Công nghệ và thông tin,Viễn thông,ITD
1494,Công nghệ và thông tin,Viễn thông,KST
1495,Công nghệ và thông tin,Viễn thông,ONE
1496,Công nghệ và thông tin,Viễn thông,PMT
1497,Công nghệ và thông tin,Viễn thông,PTP
1498,Công nghệ và thông tin,Viễn thông,TGP
1499,Công nghệ và thông tin,Viễn thông,TTN
1500,Công nghệ và thông tin,Viễn thông,VGI
1501,Công nghệ và thông tin,Viễn thông,VIE
1502,Công nghệ và thông tin,Viễn thông,VTC
1503,Thuê và cho thuê,"Thuê và cho thuê máy móc, thiết bị thương mại và công nghiệp",HDO
1504,"Dịch vụ chuyên môn, khoa học và công nghệ","Dịch vụ chuyên môn, khoa học và công nghệ",ADG
1505,"Dịch vụ chuyên môn, khoa học và công nghệ","Dịch vụ chuyên môn, khoa học và công nghệ",CCV
1506,"Dịch vụ chuyên môn, khoa học và công nghệ","Dịch vụ chuyên môn, khoa học và công nghệ",CNN
1507,"Dịch vụ chuyên môn, khoa học và công nghệ","Dịch vụ chuyên môn, khoa học và công nghệ",DCH
1508,"Dịch vụ chuyên môn, khoa học và công nghệ","Dịch vụ chuyên môn, khoa học và công nghệ",EFI
1509,"Dịch vụ chuyên môn, khoa học và công nghệ","Dịch vụ chuyên môn, khoa học và công nghệ",HEJ
1510,"Dịch vụ chuyên môn, khoa học và công nghệ","Dịch vụ chuyên môn, khoa học và công nghệ",HPT
1511,"Dịch vụ chuyên môn, khoa học và công nghệ","Dịch vụ chuyên môn, khoa học và công nghệ",IBC
1512,"Dịch vụ chuyên môn, khoa học và công nghệ","Dịch vụ chuyên môn, khoa học và công nghệ",INC
1513,"Dịch vụ chuyên môn, khoa học và công nghệ","Dịch vụ chuyên môn, khoa học và công nghệ",KPF
1514,"Dịch vụ chuyên môn, khoa học và công nghệ","Dịch vụ chuyên môn, khoa học và công nghệ",NAC
1515,"Dịch vụ chuyên môn, khoa học và công nghệ","Dịch vụ chuyên môn, khoa học và công nghệ",NUE
1516,"Dịch vụ chuyên môn, khoa học và công nghệ","Dịch vụ chuyên môn, khoa học và công nghệ",ODE
1517,"Dịch vụ chuyên môn, khoa học và công nghệ","Dịch vụ chuyên môn, khoa học và công nghệ",ONW
1518,"Dịch vụ chuyên môn, khoa học và công nghệ","Dịch vụ chuyên môn, khoa học và công nghệ",PID
1519,"Dịch vụ chuyên môn, khoa học và công nghệ","Dịch vụ chuyên môn, khoa học và công nghệ",PLE
1520,"Dịch vụ chuyên môn, khoa học và công nghệ","Dịch vụ chuyên môn, khoa học và công nghệ",PPE
1521,"Dịch vụ chuyên môn, khoa học và công nghệ","Dịch vụ chuyên môn, khoa học và công nghệ",PVE
1522,"Dịch vụ chuyên môn, khoa học và công nghệ","Dịch vụ chuyên môn, khoa học và công nghệ",QNT
1523,"Dịch vụ chuyên môn, khoa học và công nghệ","Dịch vụ chuyên môn, khoa học và công nghệ",SDC
1524,"Dịch vụ chuyên môn, khoa học và công nghệ","Dịch vụ chuyên môn, khoa học và công nghệ",SIG
1525,"Dịch vụ chuyên môn, khoa học và công nghệ","Dịch vụ chuyên môn, khoa học và công nghệ",TV1
1526,"Dịch vụ chuyên môn, khoa học và công nghệ","Dịch vụ chuyên môn, khoa học và công nghệ",TV2
1527,"Dịch vụ chuyên môn, khoa học và công nghệ","Dịch vụ chuyên môn, khoa học và công nghệ",TV3
1528,"Dịch vụ chuyên môn, khoa học và công nghệ","Dịch vụ chuyên môn, khoa học và công nghệ",TV4
1529,"Dịch vụ chuyên môn, khoa học và công nghệ","Dịch vụ chuyên môn, khoa học và công nghệ",TVG
1530,"Dịch vụ chuyên môn, khoa học và công nghệ","Dịch vụ chuyên môn, khoa học và công nghệ",TVH
1531,"Dịch vụ chuyên môn, khoa học và công nghệ","Dịch vụ chuyên môn, khoa học và công nghệ",TVM
1532,"Dịch vụ chuyên môn, khoa học và công nghệ","Dịch vụ chuyên môn, khoa học và công nghệ",UPC
1533,"Dịch vụ chuyên môn, khoa học và công nghệ","Dịch vụ chuyên môn, khoa học và công nghệ",USC
1534,"Dịch vụ chuyên môn, khoa học và công nghệ","Dịch vụ chuyên môn, khoa học và công nghệ",VAT
1535,"Dịch vụ chuyên môn, khoa học và công nghệ","Dịch vụ chuyên môn, khoa học và công nghệ",VBG
1536,"Dịch vụ chuyên môn, khoa học và công nghệ","Dịch vụ chuyên môn, khoa học và công nghệ",VCT
1537,"Dịch vụ chuyên môn, khoa học và công nghệ","Dịch vụ chuyên môn, khoa học và công nghệ",VGV
1538,"Dịch vụ chuyên môn, khoa học và công nghệ","Dịch vụ chuyên môn, khoa học và công nghệ",VLA
1539,"Dịch vụ chuyên môn, khoa học và công nghệ","Dịch vụ chuyên môn, khoa học và công nghệ",VNC
1540,"Dịch vụ chuyên môn, khoa học và công nghệ","Dịch vụ chuyên môn, khoa học và công nghệ",VNX
1541,"Dịch vụ chuyên môn, khoa học và công nghệ","Dịch vụ chuyên môn, khoa học và công nghệ",VQC
1542,"Dịch vụ chuyên môn, khoa học và công nghệ","Dịch vụ chuyên môn, khoa học và công nghệ",VTK
1543,"Dịch vụ chuyên môn, khoa học và công nghệ","Dịch vụ chuyên môn, khoa học và công nghệ",VWS
1544,"Dịch vụ chuyên môn, khoa học và công nghệ","Dịch vụ chuyên môn, khoa học và công nghệ",YEG
1545,"Dịch vụ hỗ trợ (hành chính, du lịch, an ninh, kiểm định...) và xử lý rác thải","Dịch vụ hỗ trợ (hành chính, du lịch, an ninh, kiểm định...) và xử lý rác thải",AGE
1546,"Dịch vụ hỗ trợ (hành chính, du lịch, an ninh, kiểm định...) và xử lý rác thải","Dịch vụ hỗ trợ (hành chính, du lịch, an ninh, kiểm định...) và xử lý rác thải",BMD
1547,"Dịch vụ hỗ trợ (hành chính, du lịch, an ninh, kiểm định...) và xử lý rác thải","Dịch vụ hỗ trợ (hành chính, du lịch, an ninh, kiểm định...) và xử lý rác thải",BTU
1548,"Dịch vụ hỗ trợ (hành chính, du lịch, an ninh, kiểm định...) và xử lý rác thải","Dịch vụ hỗ trợ (hành chính, du lịch, an ninh, kiểm định...) và xử lý rác thải",CDH
1549,"Dịch vụ hỗ trợ (hành chính, du lịch, an ninh, kiểm định...) và xử lý rác thải","Dịch vụ hỗ trợ (hành chính, du lịch, an ninh, kiểm định...) và xử lý rác thải",DTB
1550,"Dịch vụ hỗ trợ (hành chính, du lịch, an ninh, kiểm định...) và xử lý rác thải","Dịch vụ hỗ trợ (hành chính, du lịch, an ninh, kiểm định...) và xử lý rác thải",DUS
1551,"Dịch vụ hỗ trợ (hành chính, du lịch, an ninh, kiểm định...) và xử lý rác thải","Dịch vụ hỗ trợ (hành chính, du lịch, an ninh, kiểm định...) và xử lý rác thải",MBN
1552,"Dịch vụ hỗ trợ (hành chính, du lịch, an ninh, kiểm định...) và xử lý rác thải","Dịch vụ hỗ trợ (hành chính, du lịch, an ninh, kiểm định...) và xử lý rác thải",MDA
